Skewness: 0.6500646147003835, Average LID: LPCA: 7.521367521367521  |||  MLE: 9.27754391351066  |||  MLENB: 9.27754391351066  |||  TLE: 3.933164270247799
LPCA: 0.03293125381704888  |||  MLE: -0.57465390056476  |||  MLENB: -0.57465390056476  |||  TLE: -0.423547902899443
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
102;71;11;0.0;0.0;3.6577717723148453
103;35;5;4.093820575173141;4.093820575173141;3.0651621591964258
104;19;7;12.981961449051303;12.981961449051303;5.966624037800202
105;19;5;8.159950923209875;8.159950923209875;3.4216579413560226
106;46;10;8.58229646836144;8.58229646836144;4.955726694716194
107;66;6;3.6203759067113124;3.6203759067113124;3.156370426085759
108;18;9;10.188201077316128;10.188201077316128;4.909695084491913
109;10;6;4.188369750034662;4.188369750034662;2.9212838804664614
110;9;9;20.431126259570444;20.431126259570444;7.6515558540870305
111;32;4;1.7650638535986605;1.7650638535986605;2.1343124356613243
112;13;8;13.76287219386437;13.76287219386437;5.471889124234377
113;31;3;1.999598357920485;1.999598357920485;2.4172304149372126
114;51;14;5.381459085792999;5.381459085792999;3.791817597971175
115;119;4;3.4135595848227878;3.4135595848227878;3.1628309798966914
116;33;9;7.592170582706091;7.592170582706091;5.234820355826983
117;71;8;4.537496971919235;4.537496971919235;4.2895082274774
118;8;14;10.607171231729692;10.607171231729692;4.9514470111481685
119;52;7;4.2475167581404465;4.2475167581404465;3.214239249158061
120;67;3;6.325512281477098;6.325512281477098;4.412331745878257
121;9;6;30.48929238785719;30.48929238785719;6.639178402794941
122;13;10;7.80533582367609;7.80533582367609;3.972521525380724
123;107;9;3.319885450602383;3.319885450602383;3.2041820288546936
124;4;11;14.925484420117522;14.925484420117522;4.9285977113299175
125;26;6;5.490627910972942;5.490627910972942;4.341339045161761
126;3;10;14.917482207462095;14.917482207462095;5.118397233921784
127;76;8;2.343311751248496;2.343311751248496;2.582162680463898
128;13;10;12.000141161917165;12.000141161917165;4.711361315254539
129;77;8;1.6223106785308379;1.6223106785308379;2.023672301055498
130;11;11;13.502009574150826;13.502009574150826;5.227618939385987
131;124;5;4.252162961556151;4.252162961556151;4.000217156130065
132;1;9;27.03796617698177;27.03796617698177;6.227156893442871
133;47;3;4.163725177463883;4.163725177463883;3.650913824484929
134;2;11;17.06673401448532;17.06673401448532;4.871969539263799
135;35;3;2.008195335388819;2.008195335388819;2.2913941048800863
136;1;6;18.632777225779083;18.632777225779083;6.182871399200666
137;85;11;3.924946237500068;3.924946237500068;3.773483865591358
138;83;12;2.4396945971465174;2.4396945971465174;2.904461556197521
139;31;9;10.421370163384216;10.421370163384216;6.360799716243141
140;7;16;12.016869406445092;12.016869406445092;5.217393978332831
141;85;9;1.7792408083866367;1.7792408083866367;2.18230899273127
142;8;4;12.61220220127494;12.61220220127494;4.356730976927717
143;116;11;2.2348988651282964;2.2348988651282964;2.9458779809035534
144;68;9;5.517074346842731;5.517074346842731;5.137409890279461
145;149;13;2.5643985758918797;2.5643985758918797;3.130736756884315
146;66;10;4.293195998647963;4.293195998647963;3.4702814531015544
147;67;7;1.8071384205467107;1.8071384205467107;2.1131718293335067
148;6;7;14.650208925413255;14.650208925413255;4.137022398784421
149;73;7;1.926276565053394;1.926276565053394;2.311421689466871
150;81;13;4.602473584591507;4.602473584591507;3.601833403477272
151;76;7;3.767215044051346;3.767215044051346;3.845743130632454
152;106;13;1.9110237037465672;1.9110237037465672;2.7773631181562566
153;44;4;1.507544431963029;1.507544431963029;2.0036198117153545
154;110;16;1.8700604267248087;1.8700604267248087;2.741917277557426
155;100;7;3.4798713075229246;3.4798713075229246;3.62515675856406
156;107;12;1.8014446203324308;1.8014446203324308;2.6878588658772817
157;98;4;4.065495690025968;4.065495690025968;3.287182495649685
158;108;8;2.392355698444355;2.392355698444355;2.7126610291483173
159;27;4;3.030689350738834;3.030689350738834;3.2736569212086697
160;112;13;1.8034665473571;1.8034665473571;2.6918562867413134
161;109;8;4.237329626668843;4.237329626668843;3.9894249142494553
162;0;9;39.686358235816996;39.686358235816996;8.610260435320793
163;25;3;2.0934679390860893;2.0934679390860893;2.474591714082333
164;0;3;14.71652581219508;14.71652581219508;4.773224276625689
165;17;4;2.2313967083991706;2.2313967083991706;2.4727336389376284
166;0;18;17.107494805460107;17.107494805460107;4.57106966501116
167;14;4;3.9002454560180166;3.9002454560180166;3.4198755489675268
168;90;12;3.746713181275065;3.746713181275065;3.4738603265340973
169;31;8;9.242177623614188;9.242177623614188;4.790331850527623
170;0;12;19.499280154387545;19.499280154387545;5.170026573569019
171;31;9;8.371717765919104;8.371717765919104;4.913956554349532
172;2;16;13.00606910211424;13.00606910211424;4.6212264222469415
173;10;9;7.282944346709754;7.282944346709754;3.3767634747310447
174;57;8;7.253091603413957;7.253091603413957;4.398644397144913
