dataset_name;skewness;LPCA;MLE;MLENB;TLE
wine_classified_by_quality;-0.6608075142582857;4.009595753368722;2.1280243531746383;2.1280243531746383;3.255499827989457
pima_indians_diabetes;-0.022359748872746454;5.16015625;3.4597089404536274;3.4597089404536274;3.3537270213928707
banknote_authenticity_based_on_mesures;-0.05638125037596142;3.683673469387755;2.2164187164715483;2.2164187164715483;2.462074410024842
shuttle;0.053576662125662464;4.768672413793103;3.5060817827699418;3.5060817827699418;nan
bar_crawl;-0.24233293452946786;1.574730934414729;0.8825246041413974;0.8825246041413974;nan
customer_churn;-0.2681443046996742;2.4466666666666668;1.7550306027933034;1.7550306027933034;nan
taiwanese_bakruptcy_prediction;0.29436670150336086;4.518844405338026;42.343118470661395;42.343118470661395;nan
dexter;1.567503774785549;59.0;71.00025034413767;71.00025034413767;56.20266931519847
dorothea;-1.4271106958574034;4.61;2.44141532668372;2.44141532668372;2.5842272072537384
gisette;4.377428666556439;59.0;51.74673664567272;51.74673664567272;41.75078095969248
isolet;1.2375263874747187;34.31917281179865;15.051979198925098;15.051979198925098;13.321960786123215
musk;1.7148232730106472;13.15459230069718;5.434297704433257;5.434297704433257;5.483402703196787
abalone;-0.34765461742795567;5.692841752453914;3.7455521505538996;3.7455521505538996;3.524068636645398
arrhythmia;1.1440860993028927;20.511061946902654;11.203637148464638;11.203637148464638;8.467310665916191
diabetes;-0.022359748872746454;5.16015625;3.4597089404536274;3.4597089404536274;3.3537270213928707
echocardiogram;0.28112670879210677;3.0;2.7301183418263992;2.7301183418263992;2.44049439572708
ecoli;-0.025626754968046027;4.598214285714286;3.4705878521215943;3.4705878521215943;3.1695478846946563
glass;0.4499020023346447;4.953271028037383;3.6211308509980165;3.6211308509980165;2.9688959962305796
haberman;-0.18778004820764635;3.0;2.227446372577443;2.227446372577443;nan
Ionosphere;0.5188505426284614;7.8917378917378915;7.6880630215434405;7.6880630215434405;3.592805597485864
iris;0.3026081562903286;3.1266666666666665;1.5962762004410656;1.5962762004410656;nan
lungCancer;0.3930050464254491;20.867403314917127;8.51199936157606;8.51199936157606;6.656374793546175
mfeat-factors;0.4087997753147275;9.7855;5.691829947741732;5.691829947741732;5.510166593681048
mfeat-fourier;0.4416013431527069;19.021;8.588978624996464;8.588978624996464;7.984036402028045
mfeat-karhunen;0.3822601364864456;15.9085;7.376352506371026;7.376352506371026;7.0028833499894025
mfeat-morph;-0.49018993570806446;1.0;0.9623776633819907;0.9623776633819907;1.10278594639212
mfeat-pixel;0.4413677059819635;20.4685;8.851700246972493;8.851700246972493;8.244238337920105
mfeat-zernike;0.6517286133425344;11.2355;5.702678712244997;5.702678712244997;5.518082334850669
mini_newsgroups-m-norm-tfidf-num-rem1585;2.2135900900758787;58.307153576788394;53.37023337399883;53.37023337399883;45.11446036269396
moviereviews-sorted-m-norm-tf;5.312384440079498;58.8945;41.69160906285855;41.69160906285855;30.079409864309532
optdigits;0.8950804808092138;15.358185053380783;8.105257722688505;8.105257722688505;7.62602435009648
ovarian;0.6307363031526066;11.91699604743083;6.172411774027675;6.172411774027675;5.851096857905851
ozone-eighthr;0.7009791133799561;8.336621941594318;5.913543933267937;5.913543933267937;5.571507066277938
ozone-onehr;0.7036708434035339;8.339116719242902;5.9155637982808305;5.9155637982808305;5.573499733947989
page-blocks;-0.13692904198486539;4.311346610634022;3.401828409210942;3.401828409210942;3.3023872375922467
parkinsons;-0.2738244895827684;2.928205128205128;1.9175450362291324;1.9175450362291324;1.8652464540395748
pendigits;0.3600520429099365;8.060134643377001;5.1182931806880765;5.1182931806880765;4.934970219524694
reuters-transcribed-m-norm-tfidf;0.5033127782299927;42.875621890547265;41.80190748733959;41.80190748733959;43.00416230752906
segment;-0.1260317183746358;3.67012987012987;2.420065630121258;2.420065630121258;2.8216173241937508
sonar;0.4096456267399622;11.923076923076923;5.668562362698304;5.668562362698304;5.215894278982544
spectf;0.8643877237994904;19.138576779026216;9.029810525547017;9.029810525547017;7.318258723597065
spectrometer;0.24119662911416012;5.248587570621469;3.7233566561958042;3.7233566561958042;3.528394755683609
vehicle;0.1433023314626918;6.128841607565012;3.623369259118191;3.623369259118191;3.6105114602411335
vowel;0.9389891734220058;7.990909090909091;4.074853486436036;4.074853486436036;4.427437573483153
wdbc;-1.074232356710761;2.390158172231986;1.9999297188760135;1.9999297188760135;1.9726588641709226
wpbc;-0.8848941584830182;2.227272727272727;1.8013721697635703;1.8013721697635703;1.7616156387301054
yeast;0.3065761623586991;5.940700808625337;4.9110738477044515;4.9110738477044515;4.785346004402587
